sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
EXR-KJENS1RID1-AN.sample_Sample_B_013_GC07_Yr2_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	759421	Plasma	8302039	759421	False
EXR-KJENS1RID1-AN.sample_Sample_B_013_GC15_CGTACG_combined_4_R1_001_fastq	EXR-KJENS1RID1-AN	357225	Plasma	10634323	357225	False
EXR-KJENS1RID1-AN.sample_Sample_B_014_BC01_ATGAGC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	1899	Plasma	30049	1899	True
EXR-KJENS1RID1-AN.sample_Sample_B_014_BC01_Yr2_ATTCCT_R1_001_fastq	EXR-KJENS1RID1-AN	1662974	Plasma	9521896	1662974	False
EXR-KJENS1RID1-AN.sample_Sample_B_014_GC06_GGCTAC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	711857	Plasma	4291409	711857	False
EXR-KJENS1RID1-AN.sample_Sample_B_014_GC11_Yr2_ATGTCA_R1_001_fastq	EXR-KJENS1RID1-AN	775246	Plasma	7742804	775246	False
EXR-KJENS1RID1-AN.sample_Sample_B_015_BC01_Yr2_TAGCTT_R1_001_fastq	EXR-KJENS1RID1-AN	919839	Plasma	4571916	919839	False
EXR-KJENS1RID1-AN.sample_Sample_B_019_BC01_Yr2_GGCTAC_R1_001_fastq	EXR-KJENS1RID1-AN	2997664	Plasma	7652976	2997664	False
EXR-KJENS1RID1-AN.sample_Sample_B_019_GC01_Yr2_CCGTCC_R1_001_fastq	EXR-KJENS1RID1-AN	1831601	Plasma	10342452	1831601	False
EXR-KJENS1RID1-AN.sample_Sample_B_019_GC03_Yr2_GTGGCC_R1_001_fastq	EXR-KJENS1RID1-AN	2186585	Plasma	6960606	2186585	False
EXR-KJENS1RID1-AN.sample_Sample_B_022_BC01_GCCAAT_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	700591	Plasma	4790416	700591	False
