sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
EXR-KJENS1RID1-AN.sample_Sample_B_001_PC02_CAGGCG_R1_001_fastq	-4.07915515906089	0.339004200575758	5.25299999265007	3.3547479871021	-0.0861247400978901	2.75444745232715	-1.20525687341337	2.72808287520269	-2.32903134699875	0.903744398093056
EXR-KJENS1RID1-AN.sample_Sample_B_002_PC02_CATTTT_combined_2_R1_001_fastq	0.455990083133344	-1.37055992308069	2.19890853348658	4.74353587723694	-2.14811901062283	4.6578156219702	-0.947982948974678	4.36139103014523	-2.25643525045238	-0.326500839621489
EXR-KJENS1RID1-AN.sample_Sample_B_004_BC01_CATGGC_combined_3_R1_001_fastq	-6.04628990202716	2.96324508916006	6.49614008802875	6.48837645331239	1.39800215156195	0.326794103669397	0.470172720434454	0.689330210772777	-0.182619927908625	-0.571526501454459
EXR-KJENS1RID1-AN.sample_Sample_B_004_GC11_CAGGCG_combined_3_R1_001_fastq	-7.77122368853949	4.62658368927557	6.92523963633253	6.12155225938967	3.07032420989098	0.411955116301915	0.850334131634224	1.10703184806686	0.508943046334773	-1.09258707731896
EXR-KJENS1RID1-AN.sample_Sample_B_004_GC12_ACTTGA_combined_3_R1_001_fastq	3.55489796192916	-0.101359855938246	3.3524034363158	9.21896090462992	-7.33108951856236	2.42311923753031	0.0470255841641964	-0.257787409028583	-0.227228233992628	1.51304687560319
EXR-KJENS1RID1-AN.sample_Sample_B_005_BC01_GTCCGC_combined_2_R1_001_fastq	-4.82779357865263	-1.22727075173051	5.0506949483143	2.35360881817042	-3.11612843462259	1.82616934606657	-2.59913865046223	4.00524216460873	-1.14794178012925	0.644003471667918
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC06_CTCAGA_R1_001_fastq	-6.0443336259847	3.00047724200807	6.8501542691767	3.48724473129079	2.00617215004931	2.69024237791342	-0.074013843185447	2.8600836617373	-1.86653730572349	-0.743161815363358
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC07_AGTTCC_combined_3_R1_001_fastq	3.84284741945052	0.0635326486935661	2.04546055817927	3.09743258585013	-8.92541521292269	0.848089013894779	-1.07812768088797	-1.04397802012814	-1.40796672078582	1.76552593020444
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC08_GGTAGC_combined_2_R1_001_fastq	14.6122300720424	-2.57630649805215	-4.00949425934259	13.1889810745779	-2.34986242015068	3.14190696809666	-0.843714477599868	0.372786739312081	-3.14458813321119	0.668171299130323
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC09_CAGATC_combined_3_R1_001_fastq	7.41324499419307	2.10466438400779	2.46766190118673	5.78546230803697	-4.97238192503767	4.01233017671648	0.421001190725084	-2.9129595154874	-1.22281755625339	1.25657208435136
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC12_CATGGC_R1_001_fastq	-6.06963237185035	2.59484204994707	6.29846268864688	3.96475006464252	2.37257714925157	2.00697078477627	0.0154536790506704	2.03995577905701	-0.946495837038315	-1.01396850223228
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC16_ACAGTG_combined_3_R1_001_fastq	-1.01596326312452	5.00911595090448	5.68412213732478	6.52240173890083	-6.09505292663655	0.00293240838300884	0.370842617439404	-2.40607738111484	-1.77717217323945	0.0476200453915692
EXR-KJENS1RID1-AN.sample_Sample_B_006_BC01_TAGCTT_R1_001_fastq	-5.07112391866621	-0.0902487828878041	5.33692325290533	2.81480778744053	-0.960136922506878	2.65124267963885	-1.19921580412121	4.53925079074386	-2.55948961359708	0.68091690316304
EXR-KJENS1RID1-AN.sample_Sample_B_006_GC06_CTTGTA_combined_2_R1_001_fastq	-3.90925504376479	1.66882257735128	5.50446578899365	4.84571520222262	2.04999762117651	2.37297795407347	0.0817464768593801	2.23903482045088	-0.336608630337342	-0.0819219912765035
EXR-KJENS1RID1-AN.sample_Sample_B_006_GC07_ATGTCA_combined_2_R1_001_fastq	-2.49988618931616	-0.73133064458984	4.42006119519073	2.69189562834041	-2.1116060489853	4.16436370935635	-1.47201322665555	5.84932210480286	-3.17041038816105	0.0303590029533495
EXR-KJENS1RID1-AN.sample_Sample_B_007_BC01_GTAGAG_R1_001_fastq	-4.62067350873793	0.851020864401335	5.11435282993987	4.20611894102666	-0.12385720316678	3.32609564222035	-0.757354876311758	5.61641400454485	-1.38063011261053	0.60398327079832
EXR-KJENS1RID1-AN.sample_Sample_B_007_GC05_ACTGAT_combined_3_R1_001_fastq	4.03545819191484	-4.3968883757369	0.835627639902141	5.71963076266495	-0.58346678448083	6.48936784766618	-1.38797146675117	3.22294366357612	-2.83647284824508	-0.203279553564584
EXR-KJENS1RID1-AN.sample_Sample_B_007_GC07_CAACTA_combined_2_R1_001_fastq	11.6310806563534	-0.270263005851082	0.0688533957487509	5.96559033024444	-3.6423445006599	4.94792535015824	-0.377498259440917	2.29695018040551	-2.14751522820772	2.38473458185332
EXR-KJENS1RID1-AN.sample_Sample_B_007_GC10_TCCCGA_R1_001_fastq	-3.92271869414461	-0.168899782385222	5.55552449069434	5.36542959517949	-2.73712166998527	2.35596253196715	0.093822272195066	2.70578979499633	-0.857069904582701	0.580001912192959
EXR-KJENS1RID1-AN.sample_Sample_B_007_PC02_TAGCTT_combined_3_R1_001_fastq	-5.160200208022	4.86994047329151	6.45519463024972	7.08525005811964	-0.851234759518436	0.23987298677422	0.0470269360152529	-0.336416594696322	0.809373793283898	-0.895072367018303
