sample_id	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
EXR-KJENS1RID1-AN.sample_Sample_B_001_PC02_CAGGCG_R1_001_fastq	-2.74682545826861	0.421118800859494	3.26416355284865	7.38411455842958	-0.530326682481372	0.398477572907923	3.78223596801852	-0.987455659469077	1.64522802034198	-2.10386611181476
EXR-KJENS1RID1-AN.sample_Sample_B_002_PC02_CATTTT_combined_2_R1_001_fastq	3.04702196990466	3.55905284090049	1.49017390882635	11.0952838044064	0.375046646557999	-0.523740942650795	3.01412374568326	-1.04597759684582	2.67268093811423	0.0246206650813481
EXR-KJENS1RID1-AN.sample_Sample_B_004_BC01_CATGGC_combined_3_R1_001_fastq	-6.3708601127931	3.08554285057066	3.30268246967016	1.16547775998831	-0.510777991712284	2.38865557702199	2.77977720094226	0.972201951048975	0.607765469796052	-0.87445425901955
EXR-KJENS1RID1-AN.sample_Sample_B_004_GC11_CAGGCG_combined_3_R1_001_fastq	-9.05783006788909	2.41068761148862	4.51813056026853	-0.294436610508098	0.642433118653843	2.03156282480324	0.879082819309644	0.870922339061677	0.0732426477665695	1.46789474508689
EXR-KJENS1RID1-AN.sample_Sample_B_004_GC12_ACTTGA_combined_3_R1_001_fastq	5.94877339889662	8.57116190592838	-6.00729210535118	5.73788981187363	-0.533537853119233	1.36113862284286	1.16312683283185	3.12012925978195	-0.549042549716091	-2.83088784945888
EXR-KJENS1RID1-AN.sample_Sample_B_005_BC01_GTCCGC_combined_2_R1_001_fastq	-3.17656329069307	-1.50453611228756	0.56943298861655	10.6023632620052	-2.76589891169238	3.03838355505117	4.11410513442511	-0.233679287134673	3.66751116963497	-1.34304205319441
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC06_CTCAGA_R1_001_fastq	-5.95610883885411	-0.292718544768033	4.74622372932502	4.8647095204743	1.07663510294645	0.175721726295529	2.79607948925159	-0.950830651192142	-0.485646440111349	0.325253268725759
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC07_AGTTCC_combined_3_R1_001_fastq	7.01752112355221	1.91839548400082	-8.51167906284009	6.57971204950275	-2.67688417864902	0.0387138192124401	2.82281548927387	-0.462183340402447	1.32849523579699	-2.9382689853532
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC08_GGTAGC_combined_2_R1_001_fastq	20.0447431134146	16.6730267406875	-0.310580293785047	5.73491793190657	-1.68189043808739	-0.759322404588879	3.50875295909819	-3.75747968203487	-2.69488847403987	-2.53653286560095
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC09_CAGATC_combined_3_R1_001_fastq	10.2544985718135	5.6537715838105	-5.76051245928105	2.41902979310567	-0.155459768170786	-4.27509225862319	-0.532715671882171	1.65214740932685	-1.29150026430209	-2.3312689106056
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC12_CATGGC_R1_001_fastq	-5.874106345227	0.442742688058414	4.96677255381561	3.55886889070721	0.355120227160064	0.774122744961496	2.43622011814406	-0.170950217677567	0.810613711867809	0.627572754031221
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC16_ACAGTG_combined_3_R1_001_fastq	-0.772690467290152	4.11309409319117	-7.23586309961346	0.185440779518326	-0.41023693303671	0.610033148744472	0.242060100863541	-0.318044928489022	-4.92627507832746	-0.842435946709567
EXR-KJENS1RID1-AN.sample_Sample_B_006_BC01_TAGCTT_R1_001_fastq	-3.76647911271767	-0.713944443566522	2.91694342730929	9.57741570504941	0.0670907051959265	1.82573172019243	3.94724996805181	-1.87263412016589	2.00992088609123	-1.12163775058633
EXR-KJENS1RID1-AN.sample_Sample_B_006_GC06_CTTGTA_combined_2_R1_001_fastq	-2.93699704003523	1.8353756938792	4.80632778664522	4.2774197017285	0.351783482099265	0.98836960998475	2.32267519516354	0.860805433926252	1.73129023627117	-0.484355737209251
EXR-KJENS1RID1-AN.sample_Sample_B_006_GC07_ATGTCA_combined_2_R1_001_fastq	-0.620366961179262	-0.0301080880929211	2.10394050417738	12.2452767646256	1.00054707518157	1.25765537443679	3.78839781659594	-1.88921835085534	0.575445498890458	-0.679367930802168
EXR-KJENS1RID1-AN.sample_Sample_B_007_BC01_GTAGAG_R1_001_fastq	-3.59204234406257	1.11516832882144	3.83602596056511	9.27880309701906	1.28331320756135	2.15490508277795	2.3578720849916	-0.820773355170304	2.60760987908832	-0.566597723717666
EXR-KJENS1RID1-AN.sample_Sample_B_007_GC05_ACTGAT_combined_3_R1_001_fastq	8.70166468008328	5.74736342916839	4.06034390040432	12.3226325466384	-0.497196993938087	-2.41004201078727	5.51525627387312	-0.161532973554089	0.601090650715687	-1.54989291799181
EXR-KJENS1RID1-AN.sample_Sample_B_007_GC07_CAACTA_combined_2_R1_001_fastq	15.9431870513793	6.95480687459791	-2.688662943031	7.28242583413788	1.5343018895151	-2.59919556332511	0.900920220832465	-0.813493373810383	2.78479790157901	-3.52302367074001
EXR-KJENS1RID1-AN.sample_Sample_B_007_GC10_TCCCGA_R1_001_fastq	-2.435065237008	2.30922935570827	0.227680108673814	8.30725431712271	0.181972616616952	2.65369919132424	4.09602986029576	1.39042178497107	0.148286906128628	-2.52270031270399
EXR-KJENS1RID1-AN.sample_Sample_B_007_PC02_TAGCTT_combined_3_R1_001_fastq	-5.75901689914088	3.9054312665274	-0.685340828862481	0.338421609438937	-0.537040507297949	1.5524858717018	0.601746702810282	2.21208775161519	-1.29210989683689	-0.14485627188582
