PC	variance_before	variance_after
PC1	25.2771749751016	33.6789923135553
PC2	15.4348395642201	8.74949151813881
PC3	8.34718774702825	4.22047381214198
PC4	7.10636417933538	3.43260794840351
PC5	2.96527369529974	2.72893086209009
PC6	2.36472609754726	2.10238354424981
PC7	1.83482350674599	1.40343456227626
PC8	1.63117781919428	1.23280285132813
PC9	1.06809778307674	0.929908678215732
PC10	0.782870736910677	0.830016664797583
