miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-378c	Urine	2	KJENS,LLAUR	1.5276	0.7083	0.6663	0.0021	1.6071	0.7504			1.4481	0.6663
hsa-miR-378g	Urine	2	KJENS,LLAUR	1.6213	0.7057	0.6823	0.0002	1.5593	0.7292			1.6832	0.6823
hsa-miR-4485-3p	Urine	2	KJENS,LLAUR	1.9976	0.7056	0.6158	0.0090	2.3313	0.7954			1.6639	0.6158
hsa-miR-125a-5p	Urine	2	KJENS,LLAUR	0.9932	0.7051	0.6319	0.0300	1.1841	0.7783			0.8022	0.6319
hsa-miR-30e-3p	Urine	2	KJENS,LLAUR	0.8284	0.7049	0.6934	0.0110	0.8414	0.6934			0.8155	0.7165
hsa-miR-29c-3p	Urine	2	KJENS,LLAUR	1.7460	0.7018	0.6486	0.0000	0.8043	0.6486			2.6878	0.7549
hsa-miR-3614-5p	Urine	2	KJENS,LLAUR	1.6418	0.7007	0.6925	0.0012	1.3255	0.7088			1.9581	0.6925
hsa-let-7f-1-3p	Urine	2	KJENS,LLAUR	1.9102	0.7000	0.5791	0.0009	0.4857	0.5791			3.3347	0.8208
hsa-miR-1292-5p	Urine	2	KJENS,LLAUR	1.6238	0.6998	0.6899	0.0002	1.0730	0.7096			2.1746	0.6899
hsa-miR-30c-1-3p	Urine	2	KJENS,LLAUR	1.9395	0.6995	0.5711	0.0063	0.3775	0.5711			3.5015	0.8278
hsa-miR-6515-5p	Urine	2	KJENS,LLAUR	1.8476	0.6990	0.5841	0.0048	0.4393	0.5841			3.2558	0.8139
hsa-miR-219a-1-3p	Urine	2	KJENS,LLAUR	1.7389	0.6981	0.6822	0.0000	1.0058	0.6822			2.4721	0.7141
hsa-miR-1468-5p	Urine	2	KJENS,LLAUR	1.3794	0.6951	0.6484	0.0060	1.1884	0.7418			1.5704	0.6484
hsa-miR-3913-5p	Urine	2	KJENS,LLAUR	1.8233	0.6867	0.5565	0.0145	0.3367	0.5565			3.3098	0.8168
hsa-miR-1229-3p	Urine	2	KJENS,LLAUR	1.9182	0.6859	0.5663	0.0006	0.4788	0.5663			3.3576	0.8056
hsa-miR-190b	Urine	2	KJENS,LLAUR	1.7756	0.6857	0.5709	0.0017	0.4430	0.5709			3.1082	0.8005
hsa-miR-143-5p	Urine	2	KJENS,LLAUR	1.7550	0.6835	0.5777	0.0015	0.4355	0.5777			3.0745	0.7892
hsa-miR-29b-3p	Urine	2	KJENS,LLAUR	1.7714	0.6830	0.5851	0.0015	0.4617	0.5851			3.0811	0.7809
hsa-miR-3120-5p	Urine	2	KJENS,LLAUR	1.5971	0.6819	0.6475	0.0000	0.7926	0.6475			2.4016	0.7163
hsa-miR-450b-5p	Urine	2	KJENS,LLAUR	1.5645	0.6804	0.6422	0.0044	1.5251	0.7186			1.6038	0.6422
hsa-miR-1827	Urine	2	KJENS,LLAUR	1.4111	0.6795	0.5814	0.0093	1.7134	0.7775			1.1089	0.5814
hsa-miR-30b-3p	Urine	2	KJENS,LLAUR	1.5627	0.6759	0.6138	0.0000	0.6961	0.6138			2.4293	0.7380
hsa-miR-651-5p	Urine	2	KJENS,LLAUR	1.4240	0.6750	0.6498	0.0014	1.0777	0.7003			1.7703	0.6498
hsa-miR-7848-3p	Urine	2	KJENS,LLAUR	1.7768	0.6732	0.5449	0.0167	0.3434	0.5449			3.2101	0.8016
hsa-miR-1255a	Urine	2	KJENS,LLAUR	1.8105	0.6709	0.5510	0.0155	0.3737	0.5510			3.2473	0.7908
hsa-miR-23b-3p	Urine	2	KJENS,LLAUR	1.0222	0.6704	0.5783	0.0035	0.3972	0.5783			1.6471	0.7625
hsa-miR-1343-3p	Urine	2	KJENS,LLAUR	1.6807	0.6661	0.5466	0.0142	0.3537	0.5466			3.0077	0.7856
hsa-miR-3679-5p	Urine	2	KJENS,LLAUR	1.4329	0.6648	0.6325	0.0023	1.2058	0.6971			1.6601	0.6325
hsa-miR-6721-5p	Urine	2	KJENS,LLAUR	1.3891	0.6644	0.6582	0.0011	0.9179	0.6707			1.8603	0.6582
hsa-miR-412-5p	Urine	2	KJENS,LLAUR	1.5617	0.6592	0.5778	0.0003	0.5806	0.5778			2.5429	0.7406
hsa-miR-378d	Urine	2	KJENS,LLAUR	1.1822	0.6548	0.6453	0.0023	0.9313	0.6643			1.4332	0.6453
hsa-miR-6852-3p	Urine	2	KJENS,LLAUR	1.2699	0.6473	0.6308	0.0012	0.7099	0.6308			1.8298	0.6637
hsa-miR-5189-3p	Urine	2	KJENS,LLAUR	1.6237	0.6406	0.5180	0.0271	0.3625	0.5180			2.8850	0.7632
hsa-miR-4665-5p	Urine	2	KJENS,LLAUR	1.2286	0.6365	0.5832	0.0217	1.0375	0.6899			1.4196	0.5832
hsa-miR-183-5p	Urine	2	KJENS,LLAUR	0.5947	0.6256	0.5950	0.0390	0.5267	0.5950			0.6626	0.6562
hsa-miR-452-5p	Urine	2	KJENS,LLAUR	1.0129	0.5969	0.5504	0.0184	0.3460	0.5504			1.6798	0.6434
hsa-mir-378c	Urine	2	KJENS,LLAUR	0.7890	0.5938	0.5841	0.0170	0.4348	0.5841			1.1431	0.6035
hsa-miR-411-3p	Urine	2	KJENS,LLAUR	0.8418	0.5851	0.5842	0.0414	0.5088	0.5860			1.1748	0.5842
