miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-30e-5p	Plasma	2	KJENS,TTUSC	0.9726	0.7807	0.7488	0.0000	1.6019	0.8127	0.3433	0.7488		
hsa-miR-409-3p	Plasma	2	KJENS,LLAUR	3.3452	0.7785	0.5750	0.0353	5.6717	0.9820			1.0187	0.5750
hsa-miR-589-5p	Plasma	2	KJENS,TTUSC	1.5234	0.7774	0.6314	0.0147	2.5819	0.9234	0.4649	0.6314		
hsa-miR-3615	Plasma	2	KJENS,TTUSC	1.4256	0.7770	0.6707	0.0001	2.3772	0.8833	0.4741	0.6707		
hsa-miR-146a-5p	Plasma	2	KJENS,LLAUR	3.2715	0.7700	0.5490	0.0372	5.5310	0.9910			1.0120	0.5490
hsa-miR-122-5p	Plasma	2	KJENS,LLAUR	2.8272	0.7683	0.6312	0.0184	3.9679	0.9054			1.6866	0.6312
hsa-miR-942-5p	Plasma	2	KJENS,TTUSC	1.2643	0.7652	0.6989	0.0008	1.9013	0.8316	0.6273	0.6989		
hsa-miR-96-5p	Plasma	2	KJENS,TTUSC	1.3057	0.7636	0.6541	0.0000	0.8330	0.6541	1.7783	0.8732		
hsa-miR-148b-3p	Plasma	2	KJENS,TTUSC	1.8493	0.7616	0.5764	0.0462	3.4573	0.9469	0.2413	0.5764		
hsa-miR-210-3p	Plasma	2	KJENS,TTUSC	0.9338	0.7566	0.6131	0.0000	0.7037	0.6131	1.1639	0.9002		
hsa-let-7g-5p	Plasma	2	KJENS,TTUSC	0.8892	0.7456	0.7305	0.0000	1.3115	0.7607	0.4668	0.7305		
hsa-miR-324-3p	Plasma	2	KJENS,TTUSC	0.8748	0.7433	0.7255	0.0000	1.0924	0.7255	0.6571	0.7612		
hsa-miR-629-5p	Plasma	2	KJENS,TTUSC	1.2507	0.7397	0.6376	0.0005	1.9568	0.8418	0.5446	0.6376		
hsa-miR-4732-5p	Plasma	2	KJENS,TTUSC	1.3905	0.7337	0.6137	0.0000	0.6409	0.6137	2.1401	0.8537		
hsa-miR-423-5p	Plasma	2	KJENS,TTUSC	1.0246	0.7315	0.6374	0.0004	1.5917	0.8255	0.4575	0.6374		
hsa-miR-20b-5p	Plasma	2	KJENS,TTUSC	0.9430	0.7309	0.5852	0.0189	0.3853	0.5852	1.5008	0.8767		
hsa-miR-143-3p	Plasma	2	KJENS,LLAUR	2.3590	0.7214	0.6382	0.0046	3.1820	0.8046			1.5359	0.6382
hsa-miR-361-3p	Plasma	2	KJENS,TTUSC	0.8068	0.7210	0.6357	0.0441	1.3017	0.8063	0.3120	0.6357		
hsa-miR-576-3p	Plasma	2	KJENS,TTUSC	0.8989	0.7134	0.7062	0.0000	1.0543	0.7207	0.7434	0.7062		
hsa-miR-1287-5p	Plasma	2	KJENS,TTUSC	0.9779	0.7130	0.6452	0.0006	1.4007	0.7808	0.5551	0.6452		
hsa-miR-7706	Plasma	2	KJENS,TTUSC	0.9007	0.7042	0.6367	0.0000	0.6492	0.6367	1.1523	0.7717		
hsa-let-7i-3p	Plasma	2	KJENS,TTUSC	0.7302	0.7040	0.6631	0.0000	0.7075	0.6631	0.7529	0.7449		
hsa-miR-5189-5p	Plasma	2	KJENS,TTUSC	1.2069	0.7009	0.6032	0.0017	1.6783	0.7987	0.7355	0.6032		
hsa-miR-636	Plasma	2	KJENS,TTUSC	1.1539	0.6875	0.5601	0.0351	0.3258	0.5601	1.9820	0.8149		
hsa-miR-33b-5p	Plasma	2	KJENS,TTUSC	1.2613	0.6860	0.6122	0.0008	1.5271	0.7599	0.9954	0.6122		
hsa-miR-550a-3-5p|hsa-miR-550a-5p	Plasma	2	KJENS,TTUSC	0.7538	0.6836	0.6658	0.0000	0.6594	0.6658	0.8482	0.7013		
hsa-miR-548av-3p|hsa-miR-548o-3p	Plasma	2	KJENS,TTUSC	0.5678	0.6791	0.6427	0.0008	0.5145	0.6427	0.6210	0.7155		
hsa-miR-150-3p	Plasma	2	KJENS,TTUSC	0.8624	0.6781	0.6174	0.0079	1.1844	0.7387	0.5404	0.6174		
hsa-miR-30d-5p	Plasma	2	KJENS,TTUSC	0.3846	0.6716	0.6279	0.0005	0.4526	0.6279	0.3166	0.7153		
hsa-miR-181a-2-3p	Plasma	2	KJENS,TTUSC	0.5739	0.6472	0.5763	0.0012	0.4198	0.5763	0.7280	0.7181		
hsa-miR-342-5p	Plasma	2	KJENS,TTUSC	0.6293	0.6347	0.6245	0.0005	0.6943	0.6245	0.5643	0.6449		
hsa-miR-1254	Plasma	2	KJENS,TTUSC	0.6028	0.6258	0.6061	0.0021	0.5185	0.6454	0.6871	0.6061		
hsa-miR-517a-3p|hsa-miR-517b-3p	Plasma	2	TTUSC,LLAUR	1.4156	0.6092	0.5980	0.0251			0.9957	0.5980	1.8356	0.6204
hsa-let-7f-2-3p	Plasma	2	KJENS,TTUSC	0.4090	0.6018	0.5925	0.0398	0.2837	0.5925	0.5342	0.6111		
hsa-miR-223-5p	Serum	2	TTUSC,LLAUR	1.3391	0.8116	0.6965	0.0028			1.4851	0.9267	1.1932	0.6965
hsa-miR-744-5p	Serum	2	TTUSC,LLAUR	1.2232	0.7999	0.6867	0.0047			1.7552	0.9130	0.6911	0.6867
hsa-miR-146a-5p	Serum	2	TTUSC,LLAUR	1.1449	0.7975	0.7253	0.0003			0.9286	0.8696	1.3611	0.7253
hsa-miR-191-5p	Serum	2	TTUSC,LLAUR	1.0725	0.7904	0.7140	0.0003			1.2955	0.8668	0.8495	0.7140
hsa-miR-199a-5p	Serum	2	TTUSC,LLAUR	1.4183	0.7768	0.6646	0.0006			1.6378	0.8889	1.1987	0.6646
hsa-miR-423-3p	Serum	2	TTUSC,LLAUR	0.7269	0.7752	0.6915	0.0032			0.8646	0.8589	0.5892	0.6915
hsa-miR-432-5p	Serum	2	TTUSC,LLAUR	1.6724	0.7708	0.6966	0.0005			2.0301	0.8449	1.3147	0.6966
hsa-miR-409-3p	Serum	2	TTUSC,LLAUR	1.5148	0.7705	0.7044	0.0003			1.6772	0.8367	1.3524	0.7044
hsa-miR-584-5p	Serum	2	TTUSC,LLAUR	1.0570	0.7656	0.7297	0.0002			0.8462	0.8015	1.2679	0.7297
hsa-miR-199a-3p|hsa-miR-199b-3p	Serum	2	TTUSC,LLAUR	1.0978	0.7620	0.6623	0.0015			1.0546	0.8616	1.1410	0.6623
hsa-miR-543	Serum	2	TTUSC,LLAUR	1.7986	0.7614	0.6570	0.0013			2.4546	0.8659	1.1425	0.6570
hsa-miR-4433b-5p	Serum	2	TTUSC,LLAUR	1.6036	0.7605	0.6454	0.0215			2.3180	0.8757	0.8892	0.6454
hsa-miR-24-3p	Serum	2	TTUSC,LLAUR	0.6821	0.7437	0.6837	0.0009			0.6647	0.8038	0.6994	0.6837
hsa-miR-379-5p	Serum	2	TTUSC,LLAUR	1.4464	0.7339	0.6421	0.0045			1.8685	0.8257	1.0244	0.6421
hsa-miR-23a-3p	Serum	2	TTUSC,LLAUR	0.8215	0.7270	0.6235	0.0194			0.9303	0.8306	0.7126	0.6235
hsa-miR-127-3p	Serum	2	TTUSC,LLAUR	1.1807	0.7189	0.6196	0.0049			1.4587	0.8183	0.9028	0.6196
hsa-miR-671-3p	Serum	2	TTUSC,LLAUR	1.1326	0.7154	0.6321	0.0186			1.5102	0.7987	0.7550	0.6321
hsa-miR-130b-5p	Serum	2	TTUSC,LLAUR	0.8695	0.7104	0.6363	0.0242			0.9286	0.7846	0.8104	0.6363
hsa-miR-382-5p	Serum	2	TTUSC,LLAUR	1.1706	0.7056	0.6902	0.0003			1.0771	0.7210	1.2641	0.6902
hsa-miR-4446-3p	Serum	2	TTUSC,LLAUR	1.3428	0.7048	0.6400	0.0171			1.7979	0.7696	0.8877	0.6400
hsa-miR-222-3p	Serum	2	TTUSC,LLAUR	0.5589	0.7030	0.6490	0.0242			0.6691	0.7570	0.4486	0.6490
hsa-miR-485-3p	Serum	2	TTUSC,LLAUR	1.2436	0.7006	0.6228	0.0456			1.7566	0.7784	0.7306	0.6228
hsa-let-7e-5p	Serum	2	TTUSC,LLAUR	0.7403	0.6957	0.6396	0.0186			0.9133	0.7518	0.5673	0.6396
hsa-miR-340-5p	Serum	2	TTUSC,LLAUR	0.5871	0.6912	0.6507	0.0428			0.5173	0.7317	0.6569	0.6507
hsa-miR-143-3p	Serum	2	TTUSC,LLAUR	1.0352	0.6906	0.6331	0.0017			0.6398	0.7481	1.4306	0.6331
