	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag	library_size_computed	tmm_factor_proxy	is_outlier
sample_BMSExoQuick3_42_S41_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1046263.0	Serum	PASS	SeraMir Kit (System Biosciences)			False	1045461.5	0.3396269972638878	True
sample_BMSExoRNeasy2_5_S4_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1513429.0	Serum	PASS	miRNeasy (Qiagen)			False	1511998.5	0.2348328718580078	True
sample_BMSExoRNeasy3_6_S5_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2384237.0	Serum	PASS	miRNeasy (Qiagen)			False	2382216.5000000005	0.14904898442270043	True
sample_BMSUltra1_28_S27_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1263880.9999999998	Serum	PASS	miRNeasy (Qiagen)			False	1262723.8333333335	0.2811912950614828	True
sample_BMSUltra2_29_S28_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1800722.9999999998	Serum	PASS	miRNeasy (Qiagen)			False	1799096.5666666667	0.19735847234585166	True
sample_BMSUltra3_30_S29_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1452090.9999999995	Serum	PASS	miRNeasy (Qiagen)			False	1450522.1666666663	0.24478560766565335	True
sample_BMSmiRCury1_46_S45_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	58356.0	Serum	PASS	Other			True	58273.0	6.093164072555043	True
sample_BMSmiRNeasy3_18_Idx2_S193_L001_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	22513.999999999996	Serum	PASS	miRNeasy (Qiagen)			True	22492.999999999996	15.78566442893345	True
sample_GFPExiqon1_123_fastq	EXR-LLAUR1AVB5CS-AN	1473737.0000000002	Plasma	PASS	miRcury biofluids (Exiqon)			False	1472562.3333333333	0.24112184724721333	True
sample_GFPExoRNeasy1_121_fastq	EXR-LLAUR1AVB5CS-AN	2404322.0000000005	Plasma	PASS	miRNeasy (Qiagen)			False	2399554.4	0.1479720359746793	True
sample_GFPNor1_133_fastq	EXR-LLAUR1AVB5CS-AN	1976007.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1973249.3333333335	0.17994023563165187	True
sample_GFPNor2_134_fastq	EXR-LLAUR1AVB5CS-AN	2466586.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2464208.8000000003	0.14408963639769487	True
sample_GFPNor3_135_S170_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	32324.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	32294.0	10.994827212485292	True
sample_GFSNor3_111_S106_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	19583.000000000004	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	19581.0	18.133238853991113	True
sample_GMPExiqon1_124_fastq	EXR-LLAUR1AVB5CS-AN	3406310.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	3403330.4166666665	0.1043292617905035	True
sample_GMPExoRNeasy1_122_fastq	EXR-LLAUR1AVB5CS-AN	3849526.999999999	Plasma	PASS	miRNeasy (Qiagen)			False	3842805.5	0.09239784579261168	True
sample_GMPNor1_136_S171_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	26217.999999999996	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	26141.999999999996	13.582241221023642	True
sample_GMPNor2_137_fastq	EXR-LLAUR1AVB5CS-AN	2219073.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2210623.333333333	0.16061847563356943	True
sample_GMPNor3_138_S173_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2505548.0000000005	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2496446.883333334	0.14222892238183876	True
sample_GMPmiRNeasy1_126_S121_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	26252.0	Plasma	FAIL	miRNeasy (Qiagen)			True	26031.0	13.640157888671201	True
sample_GMSNor1_112_S62_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1060488.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1059681.0833333335	0.3350696314056123	True
sample_GMSNor2_113_S99_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	3.0	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	3.0	118355.65000000001	True
sample_GMSNor3_114_S100_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	4.0	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	4.0	88766.7375	True
sample_GMSNor_Ami1_118_S68_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	76.0	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	76.0	4671.933552631579	True
sample_LUExoQuickFP1_Idx14_S94_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	1933.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	1925.0	184.45036363636365	True
sample_LUExoQuickFP2_Idx16_S96_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	24549.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	24412.5	14.544473118279571	True
sample_LUExoQuickFP3_Idx17_S97_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	12866.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	12818.0	27.700651427679826	True
sample_LUExoQuickMP1_Idx2_S82_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	176.0	Urine	FAIL	SeraMir Kit (System Biosciences)			True	144.0	2465.742708333333	True
sample_LUExoQuickMP2_Idx4_S84_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	9678.000000000002	Urine	PASS	SeraMir Kit (System Biosciences)			True	9644.0	36.817394234757366	True
sample_LUExoQuickMP3_Idx6_S86_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	9731.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	9697.333333333334	36.614906159769006	True
sample_LUExoRNeasyFP3_Idx26_S106_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	47190.99999999999	Urine	PASS	miRNeasy (Qiagen)			True	47107.0	7.537456216698155	True
sample_LUExoRNeasyMP2_Idx27_S107_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	63084.99999999999	Urine	PASS	miRNeasy (Qiagen)			True	62983.333333333336	5.637474728764223	True
sample_LUHomebrewFP1_Idx45_S149_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	64714.0	Urine	PASS	Other			True	64534.833333333336	5.501942620135379	True
sample_LUHomebrewMP1_Idx33_S137_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	121.0	Urine	FAIL	Other			True	121.0	2934.437603305785	True
sample_LUHomebrewMP2_Idx35_S139_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	12.0	Urine	FAIL	Other			True	12.0	29588.912500000002	True
sample_LUHomebrewMP3_Idx37_S141_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	296.0	Urine	FAIL	Other			True	296.0	1199.5505067567567	True
sample_LUMilliporeFP1_Idx19_S131_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	591.9999999999995	Urine	FAIL	miRNeasy (Qiagen)			True	574.9999999999997	617.5077391304352	True
sample_LUMilliporeFP2_Idx20_S132_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	3772.0	Urine	FAIL	miRNeasy (Qiagen)			True	3762.0	94.38249601275918	True
sample_LUMilliporeFP3_Idx21_S133_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	237.0	Urine	FAIL	miRNeasy (Qiagen)			True	237.0	1498.1727848101266	True
sample_LUMilliporeMP1_Idx42_S122_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	29334.000000000004	Urine	PASS	miRNeasy (Qiagen)			True	29295.5	12.120187400795345	True
sample_LUMilliporeMP2_Idx44_S124_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	56196.0	Urine	PASS	miRNeasy (Qiagen)			True	56078.5	6.331605695587435	True
sample_LUMilliporeMP3_Idx46_S126_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	8575.999999999998	Urine	PASS	miRNeasy (Qiagen)			True	8572.999999999998	41.416884404525845	True
sample_LUUltracentrifugeFP1_Idx45_S125_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	46913.0	Urine	PASS	miRNeasy (Qiagen)			True	46877.0	7.5744384239605775	True
sample_LUUltracentrifugeMP1_Idx33_S113_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	13457.0	Urine	PASS	miRNeasy (Qiagen)			True	13439.0	26.420637696257163	True
sample_LUUltracentrifugeMP3_Idx37_S117_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	67073.0	Urine	PASS	miRNeasy (Qiagen)			True	67026.5	5.297411471582135	True
sample_LUmiRNeasyFP1_Idx5_S85_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	55.0	Urine	FAIL	miRNeasy (Qiagen)			True	55.0	6455.762727272728	True
sample_LUmiRNeasyFP2_Idx7_S87_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	4.0	Urine	FAIL	miRNeasy (Qiagen)			True	4.0	88766.7375	True
sample_LUmiRNeasyFP3_Idx9_S89_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	18070.999999999996	Urine	PASS	miRNeasy (Qiagen)			True	18022.0	19.7018616135834	True
sample_LUmiRNeasyMP1_Idx42_S146_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	4092.0	Urine	PASS	miRNeasy (Qiagen)			True	4084.0	86.94097698334966	True
sample_LUmiRNeasyMP2_Idx44_S148_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	4983.0	Urine	PASS	miRNeasy (Qiagen)			True	4974.0	71.38458986731001	True
sample_LUmiRNeasyMP3_Idx46_S150_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	9397.0	Urine	PASS	miRNeasy (Qiagen)			True	9373.0	37.881889469753546	True
sample_SFPExiqon1_163_fastq	EXR-LLAUR1AVB5CS-AN	5654938.000000001	Plasma	PASS	miRcury biofluids (Exiqon)			False	5649128.516666668	0.06285340277751572	True
sample_SFPExoQuick1_171_S162_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1168260.9999999998	Plasma	PASS	SeraMir Kit (System Biosciences)			False	1167050.0	0.3042431343986976	True
sample_SFPExoQuick2_172_S163_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2008650.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False	2007031.3333333335	0.17691151309047823	True
sample_SFPExoQuick3_173_fastq	EXR-LLAUR1AVB5CS-AN	2592706.9999999995	Plasma	PASS	SeraMir Kit (System Biosciences)			False	2590131.25	0.13708453963481582	True
sample_SFPExoRNeasy1_161_fastq	EXR-LLAUR1AVB5CS-AN	1874309.0	Plasma	PASS	miRNeasy (Qiagen)			False	1872321.4666666668	0.1896399503618004	True
sample_SFPNor1_167_fastq	EXR-LLAUR1AVB5CS-AN	7898206.999999999	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	7891967.7333333315	0.0449909277378698	True
sample_SFPNor_Ami2_169_S160_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2009757.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2006543.4500000002	0.1769545284454219	True
sample_SFSExiqon1_147_S50_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1251339.0	Serum	PASS	miRcury biofluids (Exiqon)			False	1250144.0	0.28402084079914	True
sample_SFSNor1_151_S53_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2126363.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2124630.333333333	0.167119401633947	True
sample_SFSNor_Ami2_153_S55_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1523542.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1521691.6666666667	0.23333698789176519	True
sample_SMPExiqon1_164_fastq	EXR-LLAUR1AVB5CS-AN	3532754.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	3529430.166666667	0.10060177797350761	True
sample_SMPExoQuick2_175_fastq	EXR-LLAUR1AVB5CS-AN	2633059.9999999995	Plasma	PASS	SeraMir Kit (System Biosciences)			False	2631336.5833333326	0.1349378685527973	True
sample_SMPExoRNeasy1_162_fastq	EXR-LLAUR1AVB5CS-AN	1401240.9999999998	Plasma	PASS	miRNeasy (Qiagen)			False	1399901.1666666663	0.25363715557538774	True
sample_SMPNor1_168_fastq	EXR-LLAUR1AVB5CS-AN	4514466.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	4510821.15	0.07871448195191688	True
sample_SMPNor_Ami2_170_S161_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1374248.9999999998	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1372471.5833333333	0.2587062306511629	True
sample_SMSExoQuick1_158_S13_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1264707.0	Serum	PASS	SeraMir Kit (System Biosciences)			False	1263492.9999999998	0.28102011645493885	True
sample_SMSExoQuick3_160_S15_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1129871.9999999998	Serum	PASS	SeraMir Kit (System Biosciences)			False	1128856.3499999996	0.3145368761933262	True
sample_SMSNor1_152_S54_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	7211465.999999999	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	7204874.866666665	0.049281487405522656	True
sample_SMSNor_Ami2_154_S56_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1347341.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1344765.0833333335	0.2640364137949497	True
