PC	variance_explained_pct	cumulative_variance_pct
PC1	17.472503683539763	17.472503683539763
PC2	8.123083809931133	25.595587493470894
PC3	6.110395800794707	31.7059832942656
PC4	2.5028096084260913	34.20879290269169
PC5	2.1142581236012004	36.323051026292895
PC6	1.7135578009224328	38.036608827215325
PC7	1.4867939876370866	39.52340281485241
PC8	1.2644194443267767	40.78782225917919
PC9	1.217220943267711	42.0050432024469
PC10	1.0816595089174426	43.08670271136434
