sample_id	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_BFSUltra1_25_S24_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	589382.9999999999	Serum	PASS	miRNeasy (Qiagen)			False
sample_BFSUltra2_26_S25_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1940384.9999999998	Serum	PASS	miRNeasy (Qiagen)			False
sample_BFSUltra3_27_S26_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1388951.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BFSmiRCury1_43_S174_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	769869.9999999999	Serum	PASS	Other			False
sample_BFSmiRCury2_44_S175_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	391137.0	Serum	PASS	Other			False
sample_BFSmiRCury3_45_fastq	EXR-LLAUR1AVB5CS-AN	85876.0	Serum	FAIL	Other			True
sample_BFSmiRNeasy2_14_S151_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1176039.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_BMPExiqon1_58_S95_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	684782.0000000001	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_BMPExiqon2_59_S96_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	558775.0	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_BMPExiqon3_60_S97_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	719468.0	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_BMPExoQuick1_88_S121_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	321726.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_BMPExoQuick2_89_S122_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	329729.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_BMPExoQuick3_90_S123_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	236559.00000000003	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_BMPExoRNeasy2_53_S90_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	1272268.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPExoRNeasy3_54_S91_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	1016160.0000000001	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPME1_82_fastq	EXR-LLAUR1AVB5CS-AN	77371.0	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BMPME2_83_S116_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	81372.00000000001	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BMPME3_84_S117_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	48273.0	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BMPMillipore1_70_S104_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	143144.00000000003	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPMillipore2_71_S105_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	251101.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPMillipore3_72_S106_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	112629.99999999999	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPUltra1_76_S110_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	334578.99999999994	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPUltra2_77_S120_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	523130.99999999994	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPUltra3_78_S111_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	214803.99999999997	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BMPmiRCury1_94_S127_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	44268.0	Plasma	PASS	Other			True
sample_BMPmiRCury2_95_S138_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	108242.0	Plasma	PASS	Other			False
sample_BMPmiRNeasy2_65_S154_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	91390.00000000004	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BMPmiRNeasy3_66_S109_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	20918.000000000033	Plasma	FAIL	miRNeasy (Qiagen)			True
sample_BMSExiqon1_10_S9_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	668031.9999999999	Serum	PASS	miRcury biofluids (Exiqon)			False
sample_BMSExiqon2_11_S10_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1379642.9999999998	Serum	PASS	miRcury biofluids (Exiqon)			False
sample_BMSExiqon3_12_S11_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1258042.0	Serum	PASS	miRcury biofluids (Exiqon)			False
sample_BMSExoQuick1_40_S39_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1577471.9999999993	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_BMSExoQuick2_41_S40_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	280573.0	Serum	PASS	SeraMir Kit (System Biosciences)			False
