sample_id	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_LUUltracentrifugeFP3_Idx34_S114_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	86502.00000000001	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUUltracentrifugeMP1_Idx33_S113_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	13457.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUUltracentrifugeMP2_Idx35_S115_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	80351.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUUltracentrifugeMP3_Idx37_S117_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	67073.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUmiRNeasyFP1_Idx5_S85_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	55.0	Urine	FAIL	miRNeasy (Qiagen)			True
sample_LUmiRNeasyFP2_Idx7_S87_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	4.0	Urine	FAIL	miRNeasy (Qiagen)			True
sample_LUmiRNeasyFP3_Idx9_S89_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	18070.999999999996	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUmiRNeasyMP1_Idx42_S146_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	4092.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUmiRNeasyMP2_Idx44_S148_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	4983.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_LUmiRNeasyMP3_Idx46_S150_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	9397.0	Urine	PASS	miRNeasy (Qiagen)			True
sample_SFPExiqon1_163_fastq	EXR-LLAUR1AVB5CS-AN	5654938.000000001	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_SFPExoQuick1_171_S162_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1168260.9999999998	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_SFPExoQuick2_172_S163_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2008650.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_SFPExoQuick3_173_fastq	EXR-LLAUR1AVB5CS-AN	2592706.9999999995	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_SFPExoRNeasy1_161_fastq	EXR-LLAUR1AVB5CS-AN	1874309.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_SFPNor1_167_fastq	EXR-LLAUR1AVB5CS-AN	7898206.999999999	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SFPNor_Ami2_169_S160_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2009757.0000000002	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SFSExiqon1_147_S50_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1251339.0	Serum	PASS	miRcury biofluids (Exiqon)			False
sample_SFSExoQuick1_155_S57_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	640101.0	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_SFSExoQuick2_156_S58_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	837747.9999999999	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_SFSExoQuick3_157_S12_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	585824.0	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_SFSExoRNeasy1_145_S48_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	589417.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_SFSNor1_151_S53_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2126363.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SFSNor_Ami2_153_S55_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1523542.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SFSmiRNeasy2_149_S142_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	228634.0	Serum	PASS	miRNeasy (Qiagen)			False
sample_SMPExiqon1_164_fastq	EXR-LLAUR1AVB5CS-AN	3532754.0	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_SMPExoQuick2_175_fastq	EXR-LLAUR1AVB5CS-AN	2633059.9999999995	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_SMPExoQuick3_176_S123_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	488691.99999999994	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_SMPExoRNeasy1_162_fastq	EXR-LLAUR1AVB5CS-AN	1401240.9999999998	Plasma	PASS	miRNeasy (Qiagen)			False
sample_SMPNor1_168_fastq	EXR-LLAUR1AVB5CS-AN	4514466.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SMPNor_Ami2_170_S161_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1374248.9999999998	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SMSExoQuick1_158_S13_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1264707.0	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_SMSExoQuick2_159_S14_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	512312.0	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_SMSExoQuick3_160_S15_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1129871.9999999998	Serum	PASS	SeraMir Kit (System Biosciences)			False
sample_SMSNor1_152_S54_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	7211465.999999999	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SMSNor_Ami2_154_S56_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1347341.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False
sample_SMSmiRNeasy2_150_S52_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	768111.0	Serum	PASS	miRNeasy (Qiagen)			False
